name,points,division,age,w_l_d,stance,residence,rank,stars,last6,last5,last4,last3,last2,last1,lagged
Daniel Jacobs,113.1,super middle,33,37 3 0,orthodox,"Brooklyn, USA",48,5,W,W,W,L,W,W,47
Marcus Browne,110.7,light heavy,30,23 1 0,southpaw,"Carteret, USA",49,5,W,W,W,W,W,L,48
Ryota Murata,110.5,middle,34,16 2 0,orthodox,Japan,50,5,L,W,W,L,W,W,49
Joseph Diaz,109.5,super feather,28,31 1 0,southpaw,"Downey, USA",51,5,L,W,W,W,W,W,50
Maxim Vlasov*,107.3,light heavy,34,45 3 0,orthodox,"Samara, Russia",52,5,W,W,L,W,W,W,51
Juan Francisco Estrada,107.2,super fly,30,41 3 0,orthodox,"Hermosillo, Mexico",53,5,L,W,W,W,W,W,52
David Benavidez,106.1,super middle,23,23 0 0,orthodox,"Phoenix, USA",54,5,W,W,W,W,W,W,53
Billy Joe Saunders,105.8,super middle,31,30 0 0,southpaw,"Hatfield, United Kingdom",55,5,W,W,W,W,W,W,54
Devin Haney,105.7,light,22,25 0 0,orthodox,"Las Vegas, USA",56,5,W,W,W,W,W,W,55
Jessie Vargas,105.3,welter,31,29 3 2,orthodox,"Las Vegas, USA",57,5,L,W,D,D,W,L,56
Tevin Farmer,100.6,super feather,30,30 5 1,southpaw,"Philadelphia, USA",58,5,W,W,W,W,W,L,57
Roman Gonzalez,98.98,super fly,33,50 2 0,orthodox,"Managua, Nicaragua",59,5,L,L,W,W,W,W,58
Michel Soro,93.69,super welter,33,35 2 1,orthodox,"Villeurbanne, France",60,5,L,W,W,W,W,W,59
Yuniel Dorticos,93.11,cruiser,34,24 2 0,orthodox,"Miami, USA",61,5,W,W,L,W,W,L,60
Kid Galahad,92.48,feather,30,27 1 0,orthodox,"Sheffield, United Kingdom",62,5,W,W,W,W,L,W,61
Jamal James,92.08,welter,32,27 1 0,orthodox,"Minneapolis, USA",63,5,W,W,W,W,W,W,62
Brian Carlos Castano*,92.00,super welter,31,16 0 1,orthodox,"Isidro Casanova, Argentina",64,5,W,W,W,W,D,W,63
Erislandy Lara,90.99,super welter,37,27 3 3,southpaw,"Houston, USA",65,5,W,W,L,D,W,W,64
Jose Pedraza,90.33,super light,31,28 3 0,orthodox,"Cidra, Puerto Rico",66,5,W,L,W,L,W,W,65
Kell Brook,89.89,welter,34,39 3 0,orthodox,"Sheffield, United Kingdom",67,5,L,L,W,W,W,L,66
David Avanesyan,89.62,welter,32,26 3 1,orthodox,"Newark, United Kingdom",68,5,L,W,L,W,W,W,67
Wisaksil Wangek,87.46,super fly,34,49 5 1,southpaw,"Si Sa Ket, Thailand",69,5,W,W,W,L,W,W,68
Arnold Barboza Jr,87.19,super light,29,25 0 0,orthodox,"Los Angeles, USA",70,5,W,W,W,W,W,W,69
Oscar Valdez,86.33,super feather,29,28 0 0,orthodox,"West Covina, USA",71,5,W,W,W,W,W,W,70
Thabiso Mchunu,85.11,cruiser,32,22 5 0,southpaw,"Cato Ridge, South Africa",72,5,L,W,L,W,W,W,71
Kazuto Ioka*,84.06,super fly,31,25 2 0,orthodox,Japan,73,5,W,W,W,L,W,W,72
Eleider Alvarez,83.78,light heavy,36,25 2 0,orthodox,"Montreal, Canada",74,5,W,W,W,L,W,L,73
Caleb Plant,82.87,super middle,28,20 0 0,orthodox,"Las Vegas, USA",75,5,W,W,W,W,W,W,74
Liam Smith,80.30,middle,32,29 2 1,orthodox,"Liverpool, United Kingdom",76,5,W,W,L,W,W,W,75
Richard Commey,80.26,light,33,29 3 0,orthodox,"Bronx, USA",77,5,W,W,W,W,W,L,76
Shavkatdzhon Rakhimov,79.76,super feather,26,15 0 0,southpaw,"Ekaterinburg, Russia",78,5,W,W,W,W,W,W,77
Dereck Chisora,79.46,heavy,36,32 10 0,orthodox,"Finchley, United Kingdom",79,5,W,L,W,W,W,L,78
Egidijus Kavaliauskas,78.25,welter,32,22 1 1,orthodox,"Oxnard, USA",80,5,W,W,W,D,L,W,79
Viktor Postol,78.24,super light,36,31 3 0,orthodox,"Marina del Rey, USA",81,5,L,W,L,W,W,L,80
Sergiy Derevyanchenko,76.81,middle,35,13 3 0,orthodox,"Brooklyn, USA",82,5,W,W,L,W,L,L,81
Nordine Oubaali,75.52,bantam,34,17 0 0,southpaw,"Bagnolet, France",83,5,W,W,W,W,W,W,82
Arsen Goulamirian,75.03,cruiser,33,26 0 0,orthodox,"Big Bear Lake, USA",84,5,W,W,W,W,W,W,83
Joe Joyce,74.50,heavy,35,12 0 0,orthodox,"Putney, United Kingdom",85,5,W,W,W,W,W,W,84
Jerwin Ancajas,72.43,super fly,28,32 1 2,southpaw,"Panabo City, Philippines",86,5,W,W,W,D,W,W,85
Amir Khan,71.67,welter,34,34 5 0,orthodox,"Bolton, United Kingdom",87,5,W,L,W,W,L,W,86
George Kambosos Jnr,70.17,light,27,19 0 0,orthodox,"Sydney, Australia",88,5,W,W,W,W,W,W,87
Robert Easter Jr,69.43,super light,29,22 1 1,orthodox,"Toledo, USA",89,5,W,W,W,L,D,W,88
Abel Ramos,68.84,welter,29,26 4 2,orthodox,"Casa Grande, USA",90,4.5,W,W,W,W,W,L,89
Kevin Lerena*,68.75,cruiser,28,25 1 0,southpaw,"Johannesburg, South Africa",91,4.5,W,W,W,W,W,W,90
Nonito Donaire,67.46,bantam,38,40 6 0,orthodox,"Las Vegas, USA",92,4.5,L,W,L,W,W,L,91
Maurice Hooker,66.47,welter,31,27 1 3,orthodox,"Dallas, USA",93,4.5,W,W,W,W,L,W,92
Kosei Tanaka*,66.35,fly,25,15 0 0,orthodox,"Nagoya, Japan",94,4.5,W,W,W,W,W,W,93
Lee Selby,65.84,light,33,28 3 0,orthodox,"Barry, United Kingdom",95,4.5,W,W,L,W,W,L,94
Jarrett Hurd,65.83,super welter,30,24 1 0,orthodox,"Accokeek, USA",96,4.5,W,W,W,W,L,W,95
Guillermo Rigondeaux,65.68,bantam,40,20 1 0,southpaw,"Miami, USA",97,4.5,W,NC,L,W,W,W,96
Luke Campbell*,64.55,light,33,20 3 0,southpaw,"Hessle, United Kingdom",98,4.5,W,L,W,W,W,L,97
Erickson Lubin,64.12,super welter,25,23 1 0,southpaw,"Orlando, USA",99,4.5,L,W,W,W,W,W,98
Luis Nery,63.96,super bantam,26,31 0 0,southpaw,"Tijuana, Mexico",100,4.5,W,W,W,W,W,W,99
John Ryder*,63.86,super middle,32,28 5 0,southpaw,"Islington, United Kingdom",101,4.5,L,W,W,W,W,L,100
Leo Santa Cruz,63.79,super feather,32,37 2 1,orthodox,"Rosemead, USA",102,4.5,W,W,W,W,W,L,101
Subriel Matias,62.62,super light,28,16 1 0,orthodox,"Fajardo, Puerto Rico",103,4.5,W,W,W,W,L,W,102
Carl Frampton,62.41,super feather,33,28 2 0,orthodox,"Belfast, United Kingdom",104,4.5,W,W,W,L,W,W,103
Sergey Lipinets,61.97,welter,31,16 1 1,orthodox,"Woodland Hills, USA",105,4.5,W,L,W,W,W,D,104
Rene Alvarado*,61.66,super feather,31,32 8 0,orthodox,"Managua, Nicaragua",106,4.5,W,W,W,W,W,W,105
Kudratillo Abdukakhorov,61.34,welter,27,17 0 0,orthodox,"Kuala Lumpur, Malaysia",107,4.5,W,W,W,W,W,W,106
Fedor Chudinov,60.85,super middle,33,23 2 0,orthodox,"Serpukhov, Russia",108,4.5,W,W,W,W,W,W,107
John Riel Casimero,60.54,bantam,31,30 4 0,orthodox,"Ormoc City, Philippines",109,4.5,W,W,W,W,W,W,108
Can Xu,60.38,feather,26,18 2 0,orthodox,"Beijing, China",110,4.5,W,W,W,W,W,W,109
Jamel Herring,60.01,super feather,35,22 2 0,southpaw,"Cincinnati, USA",111,4.5,W,W,W,W,W,W,110
Sullivan Barrera,57.74,light heavy,38,22 3 0,orthodox,"Miami, USA",112,4.5,W,W,W,L,W,L,111
Joseph Parker,57.62,heavy,28,27 2 0,orthodox,"Las Vegas, USA",113,4.5,W,L,L,W,W,W,112
Kenshiro Teraji,56.23,light fly,28,17 0 0,orthodox,"Uji, Japan",114,4.5,W,W,W,W,W,W,113
Ryosuke Iwasa,55.36,super bantam,30,27 3 0,southpaw,"Kashiwa, Japan",115,4.5,W,W,W,L,W,W,114
Shakur Stevenson,55.24,super feather,23,15 0 0,southpaw,"Alexandria, USA",116,4.5,W,W,W,W,W,W,115
Jack Culcay,54.98,super welter,35,29 4 0,orthodox,"Berlin, Germany",117,4.5,W,L,W,W,W,W,116
Tony Yoka,54.56,heavy,28,9 0 0,orthodox,"Paris, France",118,4.5,W,W,W,W,W,W,117
Omar Figueroa Jr,54.48,welter,31,28 1 1,orthodox,"Weslaco, USA",119,4.5,W,W,W,W,W,L,118
Tim Tszyu*,54.26,super welter,26,16 0 0,orthodox,"Rockdale, Australia",120,4.5,W,W,W,W,W,W,119
Ryan Garcia*,53.88,light,22,20 0 0,orthodox,"Los Angeles, USA",121,4.5,W,W,W,W,W,W,120
Kubrat Pulev,53.39,heavy,39,28 2 0,orthodox,"Sofia, Bulgaria",122,4.5,W,W,W,W,W,L,121
Jorge Linares,53.06,light,35,47 5 0,orthodox,Japan,123,4.5,W,L,W,L,W,W,122
Badou Jack,52.39,light heavy,37,23 3 3,orthodox,"Las Vegas, USA",124,4.5,D,W,D,L,L,W,123
Angelo Leo,51.08,super bantam,26,20 0 0,orthodox,"Las Vegas, USA",125,4.5,W,W,W,W,W,W,124
Andrew Cancio,50.96,super feather,32,21 5 2,orthodox,"Ventura, USA",126,4.5,L,W,W,W,W,L,125
Oscar Rivas,49.89,heavy,33,26 1 0,orthodox,"Montreal, Canada",127,4.5,W,W,W,W,W,L,126
Julio Cesar Martinez,49.68,fly,25,17 1 0,orthodox,"Mexico City, Mexico",128,4.5,W,W,NC,W,W,W,127
Hiroto Kyoguchi,49.53,light fly,27,14 0 0,orthodox,Japan,129,4.5,W,W,W,W,W,W,128
Ivan Baranchyk,48.75,super light,27,20 2 0,orthodox,"Miami, USA",130,4.5,W,W,W,L,W,L,129
Luis Ortiz,48.14,heavy,41,32 2 0,southpaw,"Miami, USA",131,4.5,L,W,W,W,L,W,130
Isaac Dogboe,47.33,feather,26,21 2 0,orthodox,"Tampa, USA",132,4.5,W,W,W,L,L,W,131
Patrick Teixeira*,46.73,super welter,30,31 1 0,southpaw,"Sao Paulo, Brazil",133,4.5,L,W,W,W,W,W,132
Javier Fortuna,45.93,light,31,36 2 1,southpaw,"Braintree, USA",134,4.5,W,L,NC,W,W,W,133
Charles Martin,45.82,heavy,34,28 2 1,southpaw,"Carson, USA",135,4.5,W,W,L,W,W,W,134
Muhammadkhuja Yaqubov,45.67,super feather,25,16 0 0,southpaw,"Ekaterinburg, Russia",136,4.5,W,W,W,W,W,W,135
Custio Clayton,45.26,welter,33,18 0 1,orthodox,"Ottawa, Canada",137,4.5,W,W,W,W,W,D,136
Liam Williams,45.14,middle,28,23 2 1,orthodox,"Clydach Vale, United Kingdom",138,4.5,W,W,W,W,W,W,137
Terry Flanagan,45.09,super light,31,36 2 0,southpaw,"Manchester, United Kingdom",139,4.5,W,L,L,W,W,W,138
Jeison Rosario,44.60,super welter,25,20 2 1,orthodox,"Miami, USA",140,4.5,W,W,W,W,W,L,139
Vergil Ortiz Jr,44.52,welter,22,16 0 0,orthodox,"Grand Prairie, USA",141,4.5,W,W,W,W,W,W,140
Rob Brant,44.32,middle,30,26 2 0,orthodox,"Dallas, USA",142,4.5,L,W,W,W,L,W,141
Thomas Dulorme,43.82,welter,30,25 4 1,orthodox,"Carolina, Puerto Rico",143,4.5,W,W,L,D,W,L,142
Ohara Davies,43.60,super light,28,22 2 0,orthodox,"Hackney, United Kingdom",144,4.5,W,L,W,W,W,W,143
Carlos Adames,43.39,super welter,26,18 1 0,orthodox,"Washington Heights, USA",145,4.5,W,W,W,W,W,L,144
Masayoshi Nakatani,43.08,light,31,19 1 0,orthodox,Japan,146,4.5,W,W,W,W,L,W,145
Josesito Lopez,42.40,welter,36,38 8 0,orthodox,"Riverside, USA",147,4.5,W,W,W,L,W,W,146
Robert Helenius,41.70,heavy,36,30 3 0,orthodox,"Mariehamn, Finland",148,4.5,W,W,W,L,W,W,147
Mario Barrios,41.66,super light,25,26 0 0,orthodox,"San Antonio, USA",149,4.5,W,W,W,W,W,W,148
Jessie Magdaleno,41.58,feather,29,28 1 0,southpaw,"Las Vegas, USA",150,4.5,W,W,L,W,W,W,149
Michal Cieslak,40.47,cruiser,31,20 1 0,orthodox,"Radom, Poland",151,4.5,W,W,W,W,L,W,150
Jeff Horn,40.46,super welter,32,20 3 1,orthodox,"Acacia Ridge, Australia",152,4.5,W,L,W,L,W,L,151
Stephen Fulton,40.20,super bantam,26,18 0 0,orthodox,"Philadelphia, USA",153,4.5,W,W,W,W,W,W,152
Anthony Dirrell,39.75,super middle,36,33 2 1,orthodox,"Flint, USA",154,4.5,W,W,W,W,W,L,153
Tony Harrison,39.72,super welter,30,28 3 0,orthodox,"Detroit, USA",155,4.5,L,W,W,W,W,L,154
Khalid Yafai,39.55,super fly,31,26 1 0,orthodox,"Birmingham, United Kingdom",156,4.5,W,W,W,W,W,L,155
Juergen Braehmer,39.42,super middle,42,52 3 0,southpaw,"Schwerin, Germany",157,4.5,W,L,W,W,W,W,156
Junto Nakatani,39.39,fly,22,21 0 0,southpaw,"Sagamihara, Japan",158,4.5,W,W,W,W,W,W,157
Raymundo Beltran,39.03,super light,39,36 9 1,orthodox,"Avondale, USA",159,4,W,W,W,L,W,L,158
Petros Ananyan,38.72,super light,32,15 2 2,orthodox,"Brooklyn, USA",160,4,W,W,L,W,L,W,159
Rocky Fielding,38.71,super middle,33,28 2 0,orthodox,"Warrington, United Kingdom",161,4,W,W,W,W,L,W,160
Lawrence Okolie,38.67,cruiser,27,15 0 0,orthodox,"Hackney, United Kingdom",162,4,W,W,W,W,W,W,161
Moruti Mthalane*,38.40,fly,38,39 2 0,orthodox,South Africa,163,4,W,W,W,W,W,W,162
O'Shaquie Foster,38.23,super feather,27,18 2 0,,"Houston, USA",164,4,W,W,W,W,W,W,163
Julian Williams,36.82,super welter,30,27 2 1,orthodox,"Philadelphia, USA",165,4,W,W,W,W,W,L,164
Ricards Bolotniks,36.57,light heavy,30,18 5 1,orthodox,"Riga, Latvia",166,4,W,W,W,W,W,W,165
Azat Hovhannisyan,36.39,super bantam,32,18 3 0,orthodox,"Los Angeles, USA",167,4,W,L,W,W,W,W,166
Vincent Feigenbutz,35.78,middle,25,32 3 0,orthodox,"Karlsruhe, Germany",168,4,W,W,W,W,L,W,167
Ricky Burns,34.96,light,37,43 8 1,orthodox,"Coatbridge, United Kingdom",169,4,W,L,L,W,W,L,168
Azinga Fuzile,34.92,super feather,24,14 1 0,southpaw,"East London, South Africa",170,4,W,W,W,W,W,L,169
Maciej Sulecki,34.66,middle,31,29 2 0,orthodox,"Warsaw, Poland",171,4,W,L,W,W,L,W,170
Adam Kownacki,34.46,heavy,31,20 1 0,orthodox,"Brooklyn, USA",172,4,W,W,W,W,W,L,171
Ronny Rios,34.43,super bantam,30,32 3 0,orthodox,"Santa Ana, USA",173,4,L,W,L,W,W,W,172
Murodjon Akhmadaliev,33.66,super bantam,26,8 0 0,southpaw,"Indio, USA",174,4,W,W,W,W,W,W,173
Carlos Castro,33.29,super bantam,26,26 0 0,,"Phoenix, USA",175,4,W,W,W,W,W,W,174
Daniel Roman,32.96,super bantam,30,28 3 1,orthodox,"Los Angeles, USA",176,4,W,W,W,W,L,W,175
Michael Zerafa*,32.79,middle,28,27 4 0,orthodox,"Melbourne, Australia",177,4,W,W,L,W,W,L,176
Ryad Merhy,32.63,cruiser,28,29 1 0,orthodox,"Brussels, Belgium",178,4,L,W,W,W,W,W,177
Jason Moloney,32.63,bantam,29,21 2 0,orthodox,"Kingscliff, Australia",179,4,L,W,W,W,W,L,178
Sebastian Fundora,32.58,super welter,22,16 0 1,southpaw,"Coachella, USA",180,4,W,W,D,W,W,W,179
Chris Colbert,32.41,super feather,24,15 0 0,orthodox,"Brooklyn, USA",181,4,W,W,W,W,W,W,180
Magomed Kurbanov,32.28,super welter,25,21 0 0,orthodox,"Ekaterinburg, Russia",182,4,W,W,W,W,W,W,181
Jaron Ennis*,32.22,welter,23,26 0 0,orthodox,"Philadelphia, USA",183,4,W,W,W,W,W,W,182
Willie Monroe Jr,32.11,super middle,33,24 3 0,southpaw,"Rochester, USA",184,4,W,W,L,W,W,W,183
Josh Kelly,32.02,welter,26,10 0 1,orthodox,"Sunderland, United Kingdom",185,4,W,W,W,W,D,W,184
Joet Gonzalez,31.51,feather,27,24 1 0,orthodox,"Los Angeles, USA",186,4,W,W,W,W,L,W,185
Masayuki Ito*,31.50,light,29,26 2 1,orthodox,Japan,187,4,W,W,W,W,L,W,186
Aleksei Papin,30.99,cruiser,33,12 1 0,orthodox,"Reutov, Russia",188,4,W,W,W,W,L,W,187
Zolani Tete,30.68,bantam,32,28 4 0,southpaw,"Mdantsane, South Africa",189,4,W,W,W,W,W,L,188
Jack Catterall,30.68,super light,27,26 0 0,southpaw,"Chorley, United Kingdom",190,4,W,W,W,W,W,W,189
Tyrone McKenna,30.44,super light,30,21 2 1,southpaw,"Belfast, United Kingdom",191,4,W,W,W,W,W,L,190
Abass Baraou,30.39,super welter,26,9 1 0,orthodox,"Berlin, Germany",192,4,W,W,W,W,W,L,191
Robin Krasniqi,30.35,light heavy,33,51 6 0,orthodox,"Munich, Germany",193,4,W,W,W,L,W,W,192
James Dickens,30.09,feather,29,30 3 0,southpaw,"Liverpool, United Kingdom",194,4,W,W,W,W,W,W,193
Gerald Washington,30.01,heavy,38,20 4 1,orthodox,"Vallejo, USA",195,4,L,L,W,L,W,L,194
Lionell Thompson,29.93,super middle,35,22 5 0,orthodox,"Las Vegas, USA",196,4,W,W,L,W,W,W,195
Daniyar Yeleussinov,29.90,welter,29,10 0 0,southpaw,"Miami, USA",197,4,W,W,W,W,W,W,196
James Tennyson,29.89,light,27,28 3 0,orthodox,"Belfast, United Kingdom",198,4,W,W,W,W,W,W,197
Martin Bakole,29.76,heavy,27,16 1 0,orthodox,"Airdrie, United Kingdom",199,4,L,W,W,W,W,W,198
Rances Barthelemy,29.76,super light,34,27 1 1,orthodox,"Las Vegas, USA",200,4,W,W,W,L,W,D,199
Ray Robinson,29.61,welter,34,24 3 2,southpaw,"Philadelphia, USA",201,4,W,W,W,L,D,D,200
Panya Pradabsri,29.49,minimum,29,35 1 0,orthodox,"Bangkok, Thailand",202,4,W,W,W,W,W,W,201
Kerman Lejarraga,29.46,super welter,28,31 2 0,orthodox,"Bilbao, Spain",203,4,L,W,L,W,W,W,202
Thammanoon Niyomtrong,29.17,minimum,30,21 0 0,orthodox,"Surin, Thailand",204,4,W,W,W,W,W,W,203
Joe Noynay,29.03,super feather,25,18 2 2,southpaw,"Bogo, Philippines",205,4,W,W,W,W,W,D,204
Ruben Villa,28.93,feather,23,18 1 0,southpaw,"Salinas, USA",206,4,W,W,W,W,W,L,205
Nadjib Mohammedi,28.85,light heavy,35,42 8 0,orthodox,"Gardanne, France",207,4,W,L,L,W,L,W,206
Hiroaki Teshigawara,28.83,super bantam,30,22 2 2,orthodox,Japan,208,4,W,W,W,W,W,W,207
Kanat Islam,28.74,middle,36,27 0 0,orthodox,"Oxnard, USA",209,4,W,W,W,W,W,W,208
Lewis Ritson,28.71,super light,27,21 1 0,orthodox,"Forest Hall, United Kingdom",210,4,W,L,W,W,W,W,209
David Lemieux,28.63,super middle,31,42 4 0,orthodox,"Montreal, Canada",211,4,W,L,W,W,W,W,210
Hughie Fury,28.56,heavy,26,25 3 0,orthodox,"Manchester, United Kingdom",212,4,L,W,W,L,W,W,211
Emmanuel Rodriguez*,28.48,bantam,28,19 1 0,orthodox,"Vega Baja, Puerto Rico",213,4,W,W,W,W,W,L,212
Denys Berinchyk,28.22,light,32,14 0 0,orthodox,"Kiev, Ukraine",214,4,W,W,W,W,W,W,213
Pablo Cesar Cano,28.21,super light,31,33 7 1,orthodox,"Atizapan de Zaragoza, Mexico",215,4,W,L,L,W,W,W,214
Batyrzhan Jukembayev,28.09,super light,29,18 0 0,southpaw,"Montreal, Canada",216,4,W,W,W,W,W,W,215
Rashidi Ellis,28.01,welter,27,23 0 0,orthodox,"Lynn, USA",217,4,W,W,W,W,W,W,216
Mohamed Mimoune,27.71,super light,33,22 4 0,southpaw,"Toulouse, France",218,4,W,W,W,L,W,L,217
Francisco Rodriguez Jr,27.69,super fly,27,33 4 1,orthodox,"Monterrey, Mexico",219,4,W,W,W,W,W,W,218
Chayaphon Moonsri,27.68,minimum,35,54 1 0,orthodox,"Bangkok, Thailand",220,4,W,W,W,W,W,L,219
Javier Molina,27.66,super light,30,22 3 0,orthodox,"Norwalk, USA",221,4,W,W,W,W,W,L,220
Israil Madrimov,27.14,super welter,25,6 0 0,orthodox,"Indio, USA",222,4,W,W,W,W,W,W,221
Takuma Inoue*,27.10,bantam,24,13 1 0,orthodox,"Yokohama, Japan",223,4,W,W,W,W,W,L,222
Isaac Cruz Gonzalez,27.05,light,22,20 1 1,orthodox,"Mexico City, Mexico",224,4,W,W,W,W,W,W,223
Hassan N'Dam N'Jikam,27.01,super middle,36,37 5 0,orthodox,"Monte Carlo, Monaco",225,4,W,W,L,W,L,L,224
Sergio Garcia*,26.60,super welter,28,32 0 0,orthodox,"Torrelavega, Spain",226,4,W,W,W,W,W,W,225
Michel Rivera,26.54,light,22,19 0 0,orthodox,"Miami, USA",227,4,W,W,W,W,W,W,226
Anthony Yigit,26.52,super light,29,24 1 1,southpaw,"Stockholm, Sweden",228,4,W,W,L,W,W,W,227
Gustavo Daniel Lemos*,26.39,light,24,24 0 0,orthodox,"Tres Arroyos, Argentina",229,4,W,W,W,W,W,W,228
Krzysztof Wlodarczyk,26.39,cruiser,39,58 4 1,orthodox,"Jozefoslaw, Poland",230,4,L,W,W,W,W,W,229
Shuichiro Yoshino,26.22,light,29,13 0 0,orthodox,Japan,231,4,W,W,W,W,W,W,230
Joshua Franco,26.01,super fly,25,17 1 2,orthodox,"San Antonio, USA",232,4,D,W,D,W,W,NC,231
